Source, Target, Link
0, 1, 1
0, 8, 1
0, 12, 1
0, 91, 1
0, 174, 1
0, 328, 1
0, 331, 1
0, 492, 1
0, 1814, 1
0, 1832, 1
0, 1847, 1
0, 2099, 1
1, 2, 1
1, 5, 1
1, 6, 1
1, 120, 1
1, 2229, 1
1, 3861, 1
1, 5049, 1
2, 3, 1
2, 10, 1
2, 20, 1
2, 25, 1
2, 37, 1
2, 86, 1
2, 425, 1
3, 0, 1
3, 4, 1
3, 21, 1
3, 156, 1
3, 237, 1
3, 347, 1
3, 502, 1
3, 1190, 1
3, 4786, 1
4, 0, 1
4, 9, 1
4, 176, 1
4, 700, 1
4, 920, 1
5, 1, 1
5, 7, 1
5, 11, 1
5, 55, 1
5, 59, 1
5, 435, 1
5, 1067, 1
5, 1964, 1
5, 4195, 1
6, 3, 1
6, 44, 1
6, 57, 1
6, 147, 1
6, 256, 1
6, 351, 1
6, 5216, 1
7, 3, 1
7, 17, 1
7, 27, 1
7, 58, 1
7, 161, 1
7, 190, 1
7, 546, 1
7, 1311, 1
8, 5, 1
8, 23, 1
8, 33, 1
8, 40, 1
8, 52, 1
8, 971, 1
8, 1136, 1
8, 1170, 1
8, 4102, 1
9, 5, 1
9, 13, 1
9, 15, 1
9, 50, 1
9, 305, 1
9, 644, 1
9, 1094, 1
10, 5, 1
10, 14, 1
10, 53, 1
10, 179, 1
10, 285, 1
10, 299, 1
10, 894, 1
10, 1269, 1
11, 7, 1
11, 18, 1
11, 123, 1
11, 272, 1
11, 486, 1
11, 2409, 1
12, 3, 1
12, 75, 1
12, 109, 1
12, 115, 1
12, 1099, 1
12, 1404, 1
12, 2100, 1
13, 7, 1
13, 43, 1
13, 93, 1
13, 94, 1
13, 241, 1
13, 326, 1
13, 2808, 1
14, 6, 1
14, 16, 1
14, 61, 1
14, 243, 1
14, 338, 1
14, 416, 1
14, 444, 1
14, 5087, 1
15, 12, 1
15, 22, 1
15, 47, 1
15, 77, 1
15, 617, 1
15, 687, 1
15, 2849, 1
16, 7, 1
16, 19, 1
16, 24, 1
16, 69, 1
16, 85, 1
16, 282, 1
16, 513, 1
17, 10, 1
17, 90, 1
17, 1109, 1
17, 1733, 1
17, 2736, 1
17, 5857, 1
18, 6, 1
18, 39, 1
18, 64, 1
18, 100, 1
18, 146, 1
18, 196, 1
19, 0, 1
19, 110, 1
19, 252, 1
19, 365, 1
19, 2147, 1
20, 17, 1
20, 31, 1
20, 229, 1
20, 434, 1
20, 516, 1
20, 1693, 1
21, 7, 1
21, 29, 1
21, 30, 1
21, 317, 1
21, 885, 1
21, 1437, 1
21, 2148, 1
22, 15, 1
22, 36, 1
22, 63, 1
22, 258, 1
22, 1513, 1
22, 1894, 1
22, 2865, 1
23, 16, 1
23, 35, 1
23, 129, 1
23, 1154, 1
23, 1587, 1
23, 2084, 1
24, 22, 1
24, 155, 1
24, 172, 1
24, 286, 1
24, 329, 1
24, 1028, 1
25, 6, 1
25, 26, 1
25, 32, 1
25, 112, 1
25, 396, 1
25, 3406, 1
25, 3823, 1
26, 20, 1
26, 28, 1
26, 42, 1
26, 56, 1
26, 65, 1
26, 209, 1
26, 1340, 1
26, 1500, 1
27, 3, 1
27, 34, 1
27, 248, 1
27, 870, 1
27, 3003, 1
28, 20, 1
28, 339, 1
28, 1963, 1
28, 2980, 1
28, 5352, 1
29, 7, 1
29, 38, 1
29, 279, 1
29, 1205, 1
29, 3021, 1
30, 10, 1
30, 48, 1
30, 79, 1
30, 116, 1
30, 236, 1
30, 511, 1
31, 29, 1
31, 46, 1
31, 72, 1
31, 594, 1
31, 1080, 1
31, 1754, 1
31, 3350, 1
32, 7, 1
32, 41, 1
32, 101, 1
32, 138, 1
32, 426, 1
32, 810, 1
32, 1068, 1
32, 2786, 1
32, 3296, 1
33, 15, 1
33, 67, 1
33, 95, 1
33, 113, 1
33, 421, 1
33, 566, 1
33, 591, 1
33, 1305, 1
33, 4104, 1
34, 19, 1
34, 73, 1
34, 84, 1
34, 96, 1
34, 265, 1
34, 501, 1
34, 3344, 1
34, 3510, 1
35, 31, 1
35, 45, 1
35, 284, 1
35, 3342, 1
35, 3876, 1
36, 5, 1
36, 128, 1
36, 219, 1
36, 727, 1
36, 1503, 1
37, 15, 1
37, 103, 1
37, 1673, 1
37, 2472, 1
37, 5852, 1
38, 10, 1
38, 280, 1
38, 1827, 1
38, 2444, 1
39, 3, 1
39, 119, 1
39, 121, 1
39, 336, 1
39, 821, 1
39, 2710, 1
40, 28, 1
40, 74, 1
40, 1789, 1
40, 3343, 1
41, 3, 1
41, 145, 1
41, 275, 1
41, 483, 1
41, 747, 1
41, 1234, 1
42, 30, 1
42, 49, 1
42, 159, 1
42, 233, 1
42, 2729, 1
42, 3869, 1
43, 22, 1
43, 76, 1
43, 114, 1
43, 748, 1
43, 1287, 1
43, 2406, 1
43, 2571, 1
44, 38, 1
44, 51, 1
44, 54, 1
44, 151, 1
44, 1493, 1
44, 4928, 1
45, 6, 1
45, 158, 1
45, 770, 1
45, 2941, 1
46, 10, 1
46, 62, 1
46, 71, 1
46, 171, 1
46, 533, 1
46, 4388, 1
47, 3, 1
47, 66, 1
47, 884, 1
47, 1277, 1
47, 1856, 1
47, 2748, 1
48, 6, 1
48, 68, 1
48, 89, 1
48, 1062, 1
48, 1245, 1
48, 2800, 1
48, 3381, 1
49, 18, 1
49, 60, 1
49, 693, 1
49, 2038, 1
50, 17, 1
50, 98, 1
