Source, Target, Link
1, 2, 1
1, 3, 1
1, 6, 1
3, 5, 1
3, 7, 1
4, 3, 1
4, 10, 1
4, 12, 1
5, 4, 1
5, 2, 1
5, 31, 1
6, 3, 1
6, 5, 1
6, 24, 1
7, 5, 1
7, 6, 1
7, 19, 1
8, 6, 1
8, 9, 1
8, 20, 1
9, 6, 1
9, 13, 1
10, 2, 1
10, 5, 1
10, 36, 1
11, 3, 1
11, 6, 1
12, 2, 1
12, 10, 1
12, 14, 1
12, 23, 1
12, 25, 1
13, 6, 1
13, 18, 1
14, 2, 1
14, 10, 1
14, 15, 1
15, 2, 1
15, 21, 1
16, 2, 1
16, 15, 1
16, 17, 1
17, 10, 1
17, 15, 1
17, 32, 1
18, 6, 1
18, 26, 1
19, 3, 1
19, 11, 1
19, 37, 1
20, 6, 1
20, 1, 1
21, 2, 1
21, 28, 1
22, 6, 1
22, 8, 1
23, 2, 1
23, 5, 1
23, 30, 1
24, 3, 1
24, 29, 1
25, 2, 1
26, 6, 1
26, 33, 1
27, 2, 1
28, 15, 1
28, 39, 1
29, 6, 1
29, 22, 1
29, 34, 1
30, 2, 1
30, 27, 1
31, 3, 1
32, 10, 1
32, 16, 1
33, 6, 1
34, 6, 1
34, 35, 1
35, 6, 1
36, 15, 1
36, 32, 1
36, 38, 1
37, 3, 1
37, 7, 1
38, 10, 1
38, 32, 1
39, 15, 1
39, 21, 1
