Source, Target, Link
2, 3, 1
3, 4, 1
5, 2, 1
5, 1, 1
6, 4, 1
6, 1, 1
7, 4, 1
7, 2, 1
8, 1, 1
8, 5, 1
9, 8, 1
10, 1, 1
10, 3, 1
10, 8, 1
11, 4, 1
11, 7, 1
12, 1, 1
12, 9, 1
12, 2, 1
13, 3, 1
13, 5, 1
14, 4, 1
14, 7, 1
15, 4, 1
15, 7, 1
17, 4, 1
17, 12, 1
17, 7, 1
18, 7, 1
18, 11, 1
18, 6, 1
19, 1, 1
19, 16, 1
19, 9, 1
20, 13, 1
21, 17, 1
22, 7, 1
22, 14, 1
22, 11, 1
23, 3, 1
23, 19, 1
23, 8, 1
24, 4, 1
24, 21, 1
25, 3, 1
25, 10, 1
25, 20, 1
26, 23, 1
27, 3, 1
27, 13, 1
27, 10, 1
28, 3, 1
29, 11, 1
29, 14, 1
30, 4, 1
31, 11, 1
31, 22, 1
32, 11, 1
33, 11, 1
33, 24, 1
33, 17, 1
34, 1, 1
35, 3, 1
35, 28, 1
35, 26, 1
36, 8, 1
37, 28, 1
38, 10, 1
39, 3, 1
39, 20, 1
40, 4, 1
40, 21, 1
41, 4, 1
41, 30, 1
42, 11, 1
42, 31, 1
43, 3, 1
43, 39, 1
44, 10, 1
44, 37, 1
45, 11, 1
45, 32, 1
46, 10, 1
46, 38, 1
47, 3, 1
47, 28, 1
48, 10, 1
48, 46, 1
49, 11, 1
49, 42, 1
50, 11, 1
51, 50, 1
52, 11, 1
53, 10, 1
53, 44, 1
54, 10, 1
54, 46, 1
55, 11, 1
55, 50, 1
56, 11, 1
56, 52, 1
57, 4, 1
57, 40, 1
58, 17, 1
59, 11, 1
59, 55, 1
60, 1, 1
60, 16, 1
61, 3, 1
61, 39, 1
62, 11, 1
62, 56, 1
63, 4, 1
63, 41, 1
64, 3, 1
64, 35, 1
65, 17, 1
66, 17, 1
66, 58, 1
67, 10, 1
67, 27, 1
68, 3, 1
68, 47, 1
69, 10, 1
69, 48, 1
70, 3, 1
70, 43, 1
71, 1, 1
71, 34, 1
72, 11, 1
72, 59, 1
73, 11, 1
73, 45, 1
74, 17, 1
74, 65, 1
75, 17, 1
75, 66, 1
76, 3, 1
76, 61, 1
77, 17, 1
77, 74, 1
78, 1, 1
78, 60, 1
79, 17, 1
79, 75, 1
80, 11, 1
80, 49, 1
81, 7, 1
82, 3, 1
82, 68, 1
83, 1, 1
83, 71, 1
84, 10, 1
84, 53, 1
85, 10, 1
85, 67, 1
86, 10, 1
