Source, Target, Link
0, 1, 1
0, 4, 1
0, 41, 1
0, 47, 1
0, 71, 1
0, 165, 1
0, 104, 1
1, 2, 1
1, 9, 1
1, 77, 1
1, 168, 1
2, 3, 1
2, 37, 1
2, 46, 1
2, 78, 1
3, 0, 1
3, 5, 1
3, 20, 1
3, 36, 1
3, 90, 1
3, 97, 1
4, 7, 1
4, 21, 1
4, 48, 1
4, 69, 1
4, 158, 1
5, 6, 1
5, 23, 1
5, 33, 1
5, 74, 1
5, 112, 1
5, 156, 1
5, 194, 1
5, 142, 1
6, 2, 1
6, 14, 1
6, 17, 1
6, 254, 1
6, 133, 1
7, 1, 1
7, 18, 1
7, 55, 1
7, 215, 1
8, 7, 1
8, 10, 1
8, 11, 1
8, 40, 1
8, 63, 1
8, 93, 1
8, 186, 1
9, 13, 1
9, 15, 1
9, 42, 1
9, 261, 1
10, 9, 1
10, 29, 1
10, 68, 1
10, 106, 1
11, 10, 1
11, 16, 1
11, 35, 1
11, 151, 1
11, 220, 1
11, 248, 1
11, 54, 1
12, 1, 1
12, 45, 1
12, 32, 1
12, 26, 1
13, 1, 1
14, 27, 1
14, 30, 1
14, 153, 1
14, 22, 1
15, 19, 1
15, 25, 1
15, 79, 1
15, 178, 1
15, 8, 1
16, 2, 1
16, 24, 1
16, 31, 1
16, 54, 1
17, 7, 1
17, 60, 1
17, 171, 1
17, 6, 1
18, 7, 1
19, 95, 1
19, 143, 1
19, 79, 1
20, 91, 1
20, 136, 1
20, 210, 1
20, 58, 1
21, 12, 1
21, 64, 1
21, 87, 1
21, 203, 1
22, 11, 1
22, 133, 1
22, 164, 1
23, 1, 1
23, 43, 1
23, 172, 1
24, 19, 1
24, 85, 1
24, 179, 1
25, 13, 1
25, 192, 1
25, 212, 1
25, 234, 1
26, 32, 1
26, 113, 1
26, 166, 1
26, 211, 1
26, 86, 1
27, 4, 1
27, 28, 1
27, 66, 1
28, 9, 1
28, 59, 1
28, 101, 1
28, 108, 1
28, 137, 1
28, 242, 1
29, 27, 1
29, 106, 1
29, 142, 1
30, 14, 1
30, 51, 1
30, 230, 1
30, 239, 1
31, 22, 1
31, 38, 1
31, 56, 1
31, 163, 1
32, 9, 1
32, 29, 1
33, 4, 1
33, 62, 1
33, 94, 1
34, 138, 1
34, 176, 1
34, 213, 1
34, 116, 1
35, 26, 1
35, 122, 1
36, 23, 1
36, 57, 1
36, 130, 1
36, 196, 1
37, 35, 1
37, 201, 1
38, 4, 1
38, 237, 1
38, 273, 1
39, 18, 1
39, 44, 1
39, 70, 1
40, 1, 1
40, 232, 1
41, 18, 1
41, 158, 1
41, 184, 1
42, 15, 1
42, 117, 1
42, 13, 1
43, 37, 1
43, 155, 1
43, 193, 1
43, 187, 1
44, 33, 1
44, 50, 1
44, 250, 1
45, 5, 1
45, 75, 1
46, 26, 1
46, 89, 1
47, 1, 1
47, 52, 1
48, 9, 1
49, 30, 1
50, 2, 1
50, 169, 1
51, 25, 1
51, 120, 1
51, 239, 1
52, 11, 1
52, 65, 1
52, 67, 1
52, 99, 1
53, 50, 1
53, 34, 1
53, 58, 1
54, 40, 1
54, 111, 1
55, 40, 1
55, 224, 1
55, 18, 1
56, 21, 1
56, 73, 1
57, 31, 1
